Airports, Time Slot, Taxi Out Delay
Minneapolis-Saint Paul International Airport,Morning,17.6773514764677
Chippewa Valley Regional Airport,Morning,17.662393162393162
Phoenix Sky Harbor International Airport,Morning,17.63872457076901
Mammoth Yosemite Airport,Afternoon,17.61320754716981
Dallas/Fort Worth International Airport,Morning,17.610967854996996
San Francisco International Airport,Evening,17.60982579546079
Grand Forks International Airport,Afternoon,17.555555555555557
Dothan Regional Airport,Evening,17.5
Los Angeles International Airport,Morning,17.490715892765174
Montrose Regional Airport,Morning,17.484567901234566
Aberdeen Regional Airport,Afternoon,17.466666666666665
San Francisco International Airport,Afternoon,17.461971830985917
Elmira/Corning Regional Airport,Morning,17.38646482635797
Asheville Regional Airport,Morning,17.353917050691244
Washington Dulles International Airport,Evening,17.339255735870175
Glacier Park International Airport,Morning,17.29693741677763
George Bush Intercontinental Airport,Evening,17.295939519570783
Hartsfield-Jackson Atlanta International Airport,Afternoon,17.268892309813204
Minneapolis-Saint Paul International Airport,Night,17.263290079531185
Nantucket Memorial Airport,Afternoon,17.229333333333333
Fort Wayne International Airport,Morning,17.214828209764917
Dane County Regional Airport,Night,17.203333333333333
Missoula International Airport,Night,17.19572953736655
Piedmont Triad International Airport,Afternoon,17.14450354609929
McGhee Tyson Airport,Evening,17.123919308357348
Hartsfield-Jackson Atlanta International Airport,Morning,17.10506809717553
Syracuse Hancock International Airport,Afternoon,17.079764903442484
Tri-Cities Airport,Night,17.065040650406505
Dallas/Fort Worth International Airport,Afternoon,17.059944248364545
Huntsville International Airport,Morning,17.05522971652004
Aspen-Pitkin County Airport,Morning,17.044862518089726
Dallas/Fort Worth International Airport,Evening,17.03645388470774
Denver International Airport,Morning,17.03105934553522
Asheville Regional Airport,Evening,17.012048192771083
Dothan Regional Airport,Afternoon,17.005050505050505
Santa Maria Public Airport (Capt G. Allan Hancock Field),Night,17.0
Dickinson Theodore Roosevelt Regional Airport,Morning,16.997635933806148
Missoula International Airport,Morning,16.99019607843137
Los Angeles International Airport,Night,16.956345177664975
Burlington International Airport,Afternoon,16.947094535993063
Salt Lake City International Airport,Evening,16.94384288281969
Minneapolis-Saint Paul International Airport,Afternoon,16.935137553120107
Aberdeen Regional Airport,Morning,16.928571428571427
Plattsburgh International Airport,Afternoon,16.927272727272726
Capital Region International Airport ( Lansing Capital City),Morning,16.91808346213292
Westchester County Airport,Afternoon,16.883222468588322
Falls International Airport,Afternoon,16.882096069868997
Appleton International Airport,Night,16.870283018867923
Piedmont Triad International Airport,Evening,16.840319361277444
Pellston Regional Airport of Emmet County,Afternoon,16.835087719298247
Yampa Valley Airport (Yampa Valley Regional),Afternoon,16.822085889570552
Los Angeles International Airport,Afternoon,16.776446766415233
Hector International Airport,Night,16.75619834710744
Sioux Falls Regional Airport,Night,16.734848484848484
City of Colorado Springs Municipal Airport,Afternoon,16.71142061281337
Wilmington Airport,Morning,16.685714285714287
Tri-Cities Airport,Morning,16.68426103646833
Salt Lake City International Airport,Afternoon,16.66480030973583
Bemidji Regional Airport,Afternoon,16.62537764350453
Muskegon County Airport,Morning,16.60810810810811
Bozeman Yellowstone International Airport (Gallatin Field Airport),Morning,16.592286501377412
Erie International Airport,Morning,16.582278481012658
Chattanooga Metropolitan Airport (Lovell Field),Night,16.533333333333335
Springfield-Branson National Airport,Night,16.501618122977348
Burlington International Airport,Morning,16.501508295625943
Rick Husband Amarillo International Airport,Night,16.49579831932773
James M. Cox Dayton International Airport,Morning,16.47472353870458
Eugene Airport (Mahlon Sweet Field),Night,16.472837022132797
Augusta Regional Airport (Bush Field),Morning,16.387665198237887
Salt Lake City International Airport,Night,16.383135257498584
San Diego International Airport (Lindbergh Field),Morning,16.374487310945913
South Bend International Airport (South Bend Regional),Afternoon,16.354637568199532
Boise Airport (Boise Air Terminal),Night,16.34051724137931
Ford Airport,Afternoon,16.336363636363636
Lafayette Regional Airport,Night,16.322033898305083
Gen. Edward Lawrence Logan International Airport,Night,16.31716804979253
Los Angeles International Airport,Evening,16.31082642024572
Syracuse Hancock International Airport,Morning,16.306973400431346
Fresno Yosemite International Airport,Morning,16.303199593702388
Melbourne International Airport,Evening,16.276190476190475
Range Regional Airport (Chisholm-Hibbing Airport),Afternoon,16.254166666666666
Rogue Valley International Airport,Morning,16.243958573072497
Newark Liberty International Airport,Night,16.242702251876565
Asheville Regional Airport,Afternoon,16.23454699407282
Waterloo Regional Airport,Morning,16.22222222222222
Fairbanks International Airport,Morning,16.19219219219219
Asheville Regional Airport,Night,16.17721518987342
Grand Junction Regional Airport (Walker Field),Morning,16.172749391727493
Seattle-Tacoma International Airport,Afternoon,16.143824892155298
Lake Charles Regional Airport,Night,16.130434782608695
Honolulu International Airport,Afternoon,16.095509622238062
Savannah/Hilton Head International Airport,Evening,16.08080808080808
Burlington International Airport,Evening,16.06
MBS International Airport,Morning,16.05295315682281
Evansville Regional Airport,Morning,16.05239960822723
Springfield-Branson National Airport,Morning,16.040615787749754
Westchester County Airport,Morning,16.008670520231213
Elmira/Corning Regional Airport,Night,16.0
Roanoke Regional Airport (Woodrum Field),Night,16.0
Monterey Regional Airport (Monterey Peninsula Airport),Evening,15.974719101123595
Minot International Airport,Afternoon,15.970625798212005
Houghton County Memorial Airport,Afternoon,15.935897435897436
Brainerd Lakes Regional Airport,Morning,15.924242424242424
Honolulu International Airport,Evening,15.915128108515448
Greenville-Spartanburg International Airport,Night,15.901149425287356
Denver International Airport,Evening,15.892569296170196
Meadows Field,Morning,15.873776908023483
Santa Maria Public Airport (Capt G. Allan Hancock Field),Morning,15.850931677018634
Blue Grass Airport,Morning,15.849757673667206
Evansville Regional Airport,Afternoon,15.81453154875717
Seattle-Tacoma International Airport,Evening,15.810330352254061
Gillette-Campbell County Airport,Morning,15.807486631016042
Hector International Airport,Afternoon,15.803691275167786
Central Nebraska Regional Airport,Night,15.8
LaGuardia Airport (Marine Air Terminal),Night,15.798076923076923
Trenton Mercer Airport,Night,15.777777777777779
Appleton International Airport,Morning,15.749287749287749
Idaho Falls Regional Airport,Night,15.742857142857142
General Wayne A. Downing Peoria International Airport,Morning,15.732882882882883
Fort Lauderdale-Hollywood International Airport,Afternoon,15.706372023170994
Charlotte Douglas International Airport,Night,15.701754385964913
Aberdeen Regional Airport,Night,15.689655172413794
Wilkes-Barre/Scranton International Airport,Morning,15.688427299703264
Green Bay-Austin Straubel International Airport,Night,15.68018018018018
Dallas/Fort Worth International Airport,Night,15.677956371986223
General Mitchell International Airport,Night,15.670238095238096
Great Falls International Airport,Morning,15.668508287292818
Yellowstone Regional Airport,Afternoon,15.665012406947891
Dickinson Theodore Roosevelt Regional Airport,Afternoon,15.663507109004739
San Luis Obispo County Regional Airport (McChesney Field),Evening,15.662337662337663
Richmond International Airport,Night,15.643426294820717
Spokane International Airport,Night,15.64340239912759
Helena Regional Airport,Morning,15.633941093969144
Miami International Airport,Night,15.626126126126126
Santa Barbara Municipal Airport (Santa Barbara Airport),Night,15.623157894736842
Huntsville International Airport,Night,15.618881118881118
Bangor International Airport,Morning,15.608108108108109
Jackson-Evers International Airport,Night,15.583333333333334
George Bush Intercontinental Airport,Night,15.578518518518518
Laramie Regional Airport,Morning,15.561904761904762
Yeager Airport,Morning,15.553191489361701
Richmond International Airport,Afternoon,15.545707334028503
Rapid City Regional Airport,Morning,15.53948832035595
Cincinnati/Northern Kentucky International Airport,Morning,15.53609074243813
Lewiston-Nez Perce County Airport,Morning,15.533333333333333
Quad City International Airport,Night,15.52
Melbourne International Airport,Afternoon,15.496428571428572
Eppley Airfield,Night,15.495475113122172
Tri-Cities Regional Airport,Afternoon,15.489239598278335
Piedmont Triad International Airport,Morning,15.481444332998997
Elmira/Corning Regional Airport,Afternoon,15.48127128263337
Des Moines International Airport,Night,15.48032786885246
Memphis International Airport,Afternoon,15.470007892659826
Jackson Hole Airport,Afternoon,15.447300771208226
Juneau International Airport,Morning,15.446389496717725
Appleton International Airport,Afternoon,15.441816461684011
Henry E. Rohlsen Airport,Evening,15.4375
Huntsville International Airport,Evening,15.434679334916865
Richmond International Airport,Morning,15.433639575971732
Roanoke Regional Airport (Woodrum Field),Afternoon,15.41946697566628
Montgomery Regional Airport,Morning,15.418965517241379
Washington Dulles International Airport,Morning,15.40435044278222
Santa Barbara Municipal Airport (Santa Barbara Airport),Morning,15.403990024937656
Greater Rochester International Airport,Morning,15.403297400126823
Sioux Falls Regional Airport,Afternoon,15.3983286908078
Augusta Regional Airport (Bush Field),Afternoon,15.385099685204617
Durango-La Plata County Airport,Morning,15.384263494967978
McCarran International Airport,Afternoon,15.36715197621546
Flagstaff Pulliam Airport,Afternoon,15.341645885286782
Northwest Arkansas Regional Airport,Morning,15.340193089430894
Bismarck Municipal Airport,Night,15.331932773109244
Raleigh-Durham International Airport,Evening,15.315515610217597
Harrisburg International Airport,Morning,15.299942759015455
Destin-Fort Walton Beach Airport/Eglin AFB,Afternoon,15.294853294853295
Houghton County Memorial Airport,Night,15.27710843373494
Chicago O'Hare International Airport,Night,15.273972602739725
Idaho Falls Regional Airport,Morning,15.271084337349398
Roanoke Regional Airport (Woodrum Field),Evening,15.260663507109005
Syracuse Hancock International Airport,Evening,15.25
Tri-Cities Regional Airport,Morning,15.234879032258064
Orlando International Airport,Afternoon,15.230838593327322
Bismarck Municipal Airport,Afternoon,15.224183006535947
Columbia Regional Airport,Night,15.222627737226277
Mobile Regional Airport,Night,15.210526315789474
Denver International Airport,Night,15.210286062081558
Richmond International Airport,Evening,15.199228791773779
Fort Lauderdale-Hollywood International Airport,Evening,15.195793128095165
The Eastern Iowa Airport,Morning,15.193910837259876
Joplin Regional Airport,Morning,15.192926045016078
Kalamazoo/Battle Creek International Airport,Morning,15.186335403726709
Palm Springs International Airport,Night,15.166666666666666
Pellston Regional Airport of Emmet County,Night,15.162162162162161
Sawyer International Airport,Morning,15.158620689655173
Northwest Arkansas Regional Airport,Night,15.154970760233919
Chattanooga Metropolitan Airport (Lovell Field),Morning,15.145766345123258
Eagle County Regional Airport,Afternoon,15.137931034482758
Santa Fe Municipal Airport,Morning,15.13531799729364
Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Night,15.127937336814622
Palm Springs International Airport,Morning,15.127878920815968
Gerald R. Ford International Airport,Morning,15.126288659793815
Charlottesville-Albemarle Airport,Night,15.116104868913858
Stewart International Airport,Evening,15.101449275362318
Capital Region International Airport ( Lansing Capital City),Evening,15.100694444444445
Detroit Metropolitan Airport,Night,15.095100864553315
Abraham Lincoln Capital Airport,Night,15.094488188976378
Central Wisconsin Airport,Morning,15.09108527131783
Brunswick Golden Isles Airport,Morning,15.054585152838428
Jamestown Regional Airport,Morning,15.044943820224718
Coastal Carolina Regional Airport (Craven County Regional),Night,15.044444444444444
Tri-Cities Regional Airport,Evening,15.04147465437788
Bishop International Airport,Night,15.029761904761905
Rochester International Airport,Afternoon,15.028403525954946
Charleston International Airport/Charleston AFB,Evening,15.01891074130106
Savannah/Hilton Head International Airport,Morning,15.018424396442185
Louisville International Airport (Standiford Field),Evening,15.010382868267358
James M. Cox Dayton International Airport,Evening,14.994884910485933
Quad City International Airport,Morning,14.989964580873671
Columbia Metropolitan Airport,Afternoon,14.975418994413408
Wichita Falls Municipal Airport/Sheppard AFB,Night,14.972477064220184
Chattanooga Metropolitan Airport (Lovell Field),Afternoon,14.969975490196079
Cleveland Hopkins International Airport,Morning,14.952405192160855
Blue Grass Airport,Night,14.934426229508198
Friedman Memorial Airport,Afternoon,14.932668329177057
Dickinson Theodore Roosevelt Regional Airport,Night,14.919014084507042
Glacier Park International Airport,Afternoon,14.912162162162161
Baltimore-Washington International Airport,Morning,14.9017205657148
Stewart International Airport,Afternoon,14.894179894179894
Fairbanks International Airport,Night,14.893181818181818
Hector International Airport,Evening,14.889344262295081
Daytona Beach International Airport,Afternoon,14.8784
